"","Estimate","Cluster.s.e.","t.value","Pr...t.."
"tp_L1",0.000239593928687311,0.000659929153130608,0.363060076298664,0.716577688179287
"tp_L2",-0.000613729370939834,0.000857746220988611,-0.715513931652732,0.474330026353072
"tp_L3",-0.00120418475714906,0.000724516768851346,-1.6620522932246,0.096574507428124
"absh_L1",-0.000379559083789664,0.000549739128681487,-0.690434906280023,0.489957652704915
"absh_L2",-0.00109293961888558,0.000788288868820275,-1.3864709526106,0.165674360254004
"absh_L3",-1.08756863435112e-05,0.00079479039881163,-0.0136837163103285,0.989082943693953
"utci_L1",0.00453819185889954,0.00105274732677815,4.31080824758618,1.6626577276161e-05
"utci_L2",0.00232329756764015,0.00115528866453101,2.01101044177846,0.0443860793743241
"utci_L3",0.000235452076554849,0.00104676364695687,0.224933371768643,0.822041697133656
"ssrd_L1",0.000840335586903912,0.000798057665945287,1.05297602261429,0.29241060146721
"ssrd_L2",-0.000737276661133786,0.00121372052860584,-0.607451751665328,0.543582933404318
"ssrd_L3",-0.000885448975786722,0.00150289332384406,-0.589162891163788,0.555782672583851
